Country_ID,NUTS_ID,Sector_ID,ets_emis_t,type,major
ES,ES43,C23,534759,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES43,C24,132895,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES51,C19-C20,4514108,"Home-market, import-protected (CBAM shields)",TRUE
ES,ES51,C23,2824820,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES51,C24,199419,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES52,C19-C20,1187671,"Home-market, import-protected (CBAM shields)",TRUE
ES,ES52,C23,3690134,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES52,C24,120252,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES53,C23,0,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES61,C19-C20,3538132,"Home-market, import-protected (CBAM shields)",TRUE
ES,ES61,C23,2722191,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES61,C24,523298,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES62,C19-C20,2476458,"Home-market, import-protected (CBAM shields)",TRUE
ES,ES62,C23,32241,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES70,C19-C20,24540,"Home-market, import-protected (CBAM shields)",TRUE
ES,ES70,C23,0,"Home-market, low-trade (CBAM ~neutral)",TRUE
FI,FI19,C19-C20,0,Export-exposed (CBAM no help abroad),TRUE
FI,FI19,C23,0,"Home-market, low-trade (CBAM ~neutral)",TRUE
FI,FI19,C24,71614,"Home-market, import-protected (CBAM shields)",TRUE
FI,FI1B,C19-C20,239472,Export-exposed (CBAM no help abroad),TRUE
FI,FI1B,C23,92243,"Home-market, low-trade (CBAM ~neutral)",TRUE
FI,FI1B,C24,0,"Home-market, import-protected (CBAM shields)",TRUE
FI,FI1C,C19-C20,28535,Export-exposed (CBAM no help abroad),TRUE
FI,FI1C,C23,49969,"Home-market, low-trade (CBAM ~neutral)",TRUE
FI,FI1C,C24,35192,"Home-market, import-protected (CBAM shields)",TRUE
FI,FI1D,C19-C20,24638,Export-exposed (CBAM no help abroad),TRUE
FI,FI1D,C23,272966,"Home-market, low-trade (CBAM ~neutral)",TRUE
FI,FI1D,C24,7969,"Home-market, import-protected (CBAM shields)",TRUE
FR,FR10,C19-C20,39621,Export-exposed (CBAM no help abroad),TRUE
FR,FR10,C23,173709,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FR10,C24,125836,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRB0,C23,588332,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRC1,C23,168076,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRC1,C24,81000,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRC2,C19-C20,63587,Export-exposed (CBAM no help abroad),TRUE
FR,FRC2,C23,273502,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRD1,C23,274595,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRD2,C19-C20,4414799,Export-exposed (CBAM no help abroad),TRUE
