NUTS_ID,Country_ID,osm_banks,osm_share,ecb_offices,ecb_year,branches_cal,pop,branches_per10k,iubk,iubk_src,access_draft
DE72,DE,344,0.01699940699743032,17306,2025,294.1917374975291,1040290,2.8279781358806595,69.73,nuts1,0.5435140526062543
DE73,DE,365,0.018037161494366474,17306,2025,312.1511168215062,1200892,2.5993271403382336,69.73,nuts1,0.5556191125228185
DE80,DE,346,0.01709824075904329,17306,2025,295.90215457600317,1573597,1.8804189037981336,60.73,nuts1,0.6495033224251311
DE91,DE,375,0.01853133030243131,17306,2025,320.7032022138763,1589423,2.017733493310945,72.12,nuts1,0.5715849193009553
DE92,DE,475,0.02347301838307966,17306,2025,406.2240561375766,2123689,1.912822716214929,72.12,nuts1,0.5771390225736217
DE93,DE,446,0.02203992883969164,17306,2025,381.4230084997035,1721892,2.2151389779364994,72.12,nuts1,0.5611340344772006
DE94,DE,737,0.036420241154378336,17306,2025,630.2886934176714,2569485,2.4529767382089074,72.12,nuts1,0.548542616138133
DEA1,DE,868,0.04289385254002767,17306,2025,742.3210120577189,5244379,1.4154602710019983,70.44,nuts1,0.6138905345985989
DEA2,DE,880,0.04348685510970548,17306,2025,752.583514528563,4486282,1.6775216415922203,70.44,nuts1,0.6000166890669577
DEA3,DE,569,0.02811820517888911,17306,2025,486.61365882585494,2659034,1.8300392504415324,70.44,nuts1,0.5919422226117723
DEA4,DE,498,0.02460960664162878,17306,2025,425.8938525400277,2072861,2.0546184840181168,70.44,nuts1,0.5800527266924064
DEA5,DE,732,0.036173156750345915,17306,2025,626.0126507214865,3571898,1.752605059611127,70.44,nuts1,0.5960416822155632
DEB1,DE,427,0.021101008104368452,17306,2025,365.17404625420045,1530208,2.386434042000829,72.42,nuts1,0.5502046555458574
DEB2,DE,165,0.008153785333069777,17306,2025,141.10940897410555,525583,2.6848168409957234,72.42,nuts1,0.5344079097178465
DEB3,DE,573,0.028315872702115042,17306,2025,490.03449298280293,2073778,2.3630036242201573,72.42,nuts1,0.5514450901673307
DEC0,DE,337,0.016653488831784937,17306,2025,288.2052777228701,1012141,2.8474815042851747,58.69,nuts1,0.6109593770680337
DED2,DE,302,0.014923898003558015,17306,2025,258.272978849575,1584687,1.6298043642029942,70.61,nuts1,0.6014884396304137
DED4,DE,310,0.015319233050009883,17306,2025,265.11464716347103,1386336,1.9123404943929252,70.61,nuts1,0.586530635591862
DED5,DE,159,0.007857284048230875,17306,2025,135.97815773868354,1071399,1.2691645011679453,70.61,nuts1,0.620581149635828
DEE0,DE,542,0.026783949397114055,17306,2025,463.5230282664558,2135597,2.1704611322569556,59.08,nuts1,0.6443825987023177
DEF0,DE,596,0.029452460960664163,17306,2025,509.704289385254,2959517,1.7222549807460272,69.51,nuts1,0.6034169671264332
DEG0,DE,506,0.025004941688080647,17306,2025,432.7355208539237,2100277,2.0603735643152006,61.02,nuts1,0.6381775210404973
DK01,DK,125,0.20903010033444816,811,2025,169.52341137123744,1930793,0.8779988914981431,98.1,nuts2,0.47077758616176
DK02,DK,70,0.11705685618729098,811,2025,94.93311036789298,854902,1.1104560565759931,96.72,nuts2,0.4670307550752727
DK03,DK,161,0.2692307692307692,811,2025,218.34615384615384,1240472,1.7601860730927732,98.4,nuts2,0.42221271976401353
DK04,DK,153,0.25585284280936454,811,2025,207.49665551839465,1373799,1.5103858389647586,97.04,nuts2,0.44387312387536637
DK05,DK,89,0.1488294314381271,811,2025,120.70066889632108,592768,2.036221066189826,96.69,nuts2,0.4182057182648705
EE00,EE,85,1,53,2025,53,1369995,0.38686272577637143,87.33,nuts2,0.5635820542351748
EL30,EL,517,0.36588818117480537,1352,2025,494.6808209483369,3764272,1.3141473861302713,72.06,nuts1,0.6092057800164667
EL41,EL,36,0.025477707006369428,1352,2025,34.445859872611464,207927,1.6566323696591336,48.12,nuts1,0.7395669540992512
EL42,EL,80,0.056617126680820945,1352,2025,76.54635527246992,327036,2.3406094519401512,48.12,nuts1,0.7033563811125603
EL43,EL,103,0.07289455060155697,1352,2025,98.55343241330503,621121,1.5867026298145614,48.12,nuts1,0.7432691190024048
