cname,region_code,name,year,EQIregion,nuts_level,NUTS0_code,NUTS1_code,NUTS2_code,NUTS0_name,NUTS1_name,NUTS2_name,EQI,EQI_me,EQI_low_me,EQI_high_me,qualityp,impartialityp,corruptionp,corruption_subPer,corruption_subExp
Cyprus,CY,Cyprus,2017,2801,0,CY,,,Kýpros,NA,NA,-.011,,,,-.057,-.117,.142,,
Cyprus,CY,Cyprus,2013,2801,0,CY,,,Kýpros,NA,NA,.07,,,,.454,-.117,-.134,,
Czech Republic,CZ01,Praha,2021,1901,2,CZ,CZ0,CZ01,Česko,Česko,Praha,-.06,.280254,-.340254,.220254,-.084,.462,-.551,.064162,.196376
Czech Republic,CZ01,Praha,2024,1901,2,CZ,CZ0,CZ01,Česko,Česko,Praha,.029,.277995,-.248995,.306995,.527,-.057,-.386,.053454,.034131
Czech Republic,CZ01,Praha,2010,1901,2,CZ,CZ0,CZ01,Česko,Česko,Praha,-.882,.415127,-1.297127,-.466873,-.591,-.484,-1.484,,
Czech Republic,CZ01,Praha,2013,1901,2,CZ,CZ0,CZ01,Česko,Česko,Praha,-.455,.215415,-.670415,-.239585,-.215,-.078,-1.034,,
Czech Republic,CZ01,Praha,2017,1901,2,CZ,CZ0,CZ01,Česko,Česko,Praha,-.067,.39102,-.45802,.32402,.225,.207,-.626,-.6290790000000001,.39102
Czech Republic,CZ02,Strední Cechy,2017,1902,2,CZ,CZ0,CZ02,Česko,Česko,Střední Čechy,-.5620000000000001,.449433,-1.011433,-.112567,-.001,-.877,-.751,-.803647,.449433
Czech Republic,CZ02,Strední Cechy,2010,1902,2,CZ,CZ0,CZ02,Česko,Česko,Střední Čechy,-.3,.398656,-.6986559999999999,.098656,.014,-.034,-.849,,
Czech Republic,CZ02,Strední Cechy,2024,1902,2,CZ,CZ0,CZ02,Česko,Česko,Střední Čechy,-.043,.223236,-.266236,.180236,.133,.018,-.273,.283935,.013753
Czech Republic,CZ02,Strední Cechy,2021,1902,2,CZ,CZ0,CZ02,Česko,Česko,Střední Čechy,-.282,.217546,-.4995459999999999,-.064454,-.397,.16,-.577,.162366,.046984
Czech Republic,CZ02,Strední Cechy,2013,1902,2,CZ,CZ0,CZ02,Česko,Česko,Střední Čechy,-.41,.145505,-.5555049999999999,-.264495,-.227,-.191,-.776,,
Czech Republic,CZ03,Jihozápad,2021,1903,2,CZ,CZ0,CZ03,Česko,Česko,Jihozápad,-.309,.191492,-.5004919999999999,-.117508,-.295,-.089,-.51,.007838,.3316
Czech Republic,CZ03,Jihozápad,2013,1903,2,CZ,CZ0,CZ03,Česko,Česko,Jihozápad,-.276,.179188,-.455188,-.096812,-.102,-.081,-.621,,
Czech Republic,CZ03,Jihozápad,2024,1903,2,CZ,CZ0,CZ03,Česko,Česko,Jihozápad,-.188,.212684,-.400684,.024684,.175,-.376,-.337,.116356,.063783
Czech Republic,CZ03,Jihozápad,2010,1903,2,CZ,CZ0,CZ03,Česko,Česko,Jihozápad,-.107,.335505,-.442505,.228505,.348,-.145,-.515,,
Czech Republic,CZ03,Jihozápad,2017,1903,2,CZ,CZ0,CZ03,Česko,Česko,Jihozápad,-.195,.332022,-.527022,.137022,-.175,.218,-.608,-.285391,.332022
Czech Republic,CZ04,Severozápad,2024,1904,2,CZ,CZ0,CZ04,Česko,Česko,Severozápad,-.67,.137064,-.807064,-.5329360000000001,-.639,-.679,-.598,-.21414,-.093941
Czech Republic,CZ04,Severozápad,2017,1904,2,CZ,CZ0,CZ04,Česko,Česko,Severozápad,-.902,.291723,-1.193723,-.610277,-.661,-.804,-1.152,-.765794,.291723
Czech Republic,CZ04,Severozápad,2010,1904,2,CZ,CZ0,CZ04,Česko,Česko,Severozápad,-.881,.461249,-1.342249,-.419751,-1.165,-.508,-.883,,
Czech Republic,CZ04,Severozápad,2013,1904,2,CZ,CZ0,CZ04,Česko,Česko,Severozápad,-.888,.166472,-1.054472,-.7215279999999999,-.746,-.6,-1.243,,
Czech Republic,CZ04,Severozápad,2021,1904,2,CZ,CZ0,CZ04,Česko,Česko,Severozápad,-.598,.179949,-.777949,-.418051,-.601,-.391,-.739,-.14603,.06473
Czech Republic,CZ05,Severovýchod,2010,1905,2,CZ,CZ0,CZ05,Česko,Česko,Severovýchod,-.192,.300577,-.492577,.108577,.337,-.265,-.631,,
Czech Republic,CZ05,Severovýchod,2013,1905,2,CZ,CZ0,CZ05,Česko,Česko,Severovýchod,-.317,.174405,-.491405,-.142595,-.209,-.093,-.623,,
Czech Republic,CZ05,Severovýchod,2021,1905,2,CZ,CZ0,CZ05,Česko,Česko,Severovýchod,-.104,.196354,-.300354,.092354,-.107,.208,-.402,.319143,.210679
Czech Republic,CZ05,Severovýchod,2024,1905,2,CZ,CZ0,CZ05,Česko,Česko,Severovýchod,-.1,.179222,-.279222,.079222,.187,-.34,-.133,.147045,.412233
Czech Republic,CZ05,Severovýchod,2017,1905,2,CZ,CZ0,CZ05,Česko,Česko,Severovýchod,-.074,.32153,-.39553,.24753,-.172,.389,-.431,-.126424,.32153
Czech Republic,CZ06,Jihovýchod,2017,1906,2,CZ,CZ0,CZ06,Česko,Česko,Jihovýchod,.111,.312788,-.201788,.423788,.139,.495,-.313,.022506,.312788
Czech Republic,CZ06,Jihovýchod,2010,1906,2,CZ,CZ0,CZ06,Česko,Česko,Jihovýchod,-.481,.321247,-.8022469999999999,-.159753,-.176,-.314,-.905,,
Czech Republic,CZ06,Jihovýchod,2013,1906,2,CZ,CZ0,CZ06,Česko,Česko,Jihovýchod,-.212,.175242,-.387242,-.036758,-.125,.132,-.624,,
Czech Republic,CZ06,Jihovýchod,2024,1906,2,CZ,CZ0,CZ06,Česko,Česko,Jihovýchod,-.092,.250744,-.342744,.158744,.325,-.167,-.422,.022428,-.001558
Czech Republic,CZ06,Jihovýchod,2021,1906,2,CZ,CZ0,CZ06,Česko,Česko,Jihovýchod,-.204,.191815,-.395815,-.012185,-.21,.007,-.387,.362905,.194219
Czech Republic,CZ07,Strední Morava,2017,1907,2,CZ,CZ0,CZ07,Česko,Česko,Střední Morava,.073,.293461,-.220461,.366461,-.008,.425,-.207,-.055226,.293461
Czech Republic,CZ07,Strední Morava,2021,1907,2,CZ,CZ0,CZ07,Česko,Česko,Střední Morava,-.325,.201308,-.526308,-.123692,-.147,-.158,-.634,.014431,.093044
Czech Republic,CZ07,Strední Morava,2013,1907,2,CZ,CZ0,CZ07,Česko,Česko,Střední Morava,-.378,.196511,-.574511,-.181489,-.218,-.169,-.715,,
Czech Republic,CZ07,Strední Morava,2010,1907,2,CZ,CZ0,CZ07,Česko,Česko,Střední Morava,-.555,.364571,-.919571,-.1904290000000001,-.361,-.519,-.73,,
Czech Republic,CZ07,Strední Morava,2024,1907,2,CZ,CZ0,CZ07,Česko,Česko,Střední Morava,-.257,.248656,-.505656,-.008344,.224,-.549,-.411,-.064364,.106573
Czech Republic,CZ08,Moravskoslezsko,2021,1908,2,CZ,CZ0,CZ08,Česko,Česko,Moravskoslezsko,-.418,.209367,-.627367,-.208633,-.243,-.183,-.781,-.059174,-.10426
Czech Republic,CZ08,Moravskoslezsko,2017,1908,2,CZ,CZ0,CZ08,Česko,Česko,Moravskoslezsko,-.182,.328329,-.510329,.146329,-.011,.066,-.581,-.322506,.328329
Czech Republic,CZ08,Moravskoslezsko,2024,1908,2,CZ,CZ0,CZ08,Česko,Česko,Moravskoslezsko,-.179,.21999,-.39899,.04099,.278,-.27,-.519,-.089693,-.070108
Czech Republic,CZ08,Moravskoslezsko,2013,1908,2,CZ,CZ0,CZ08,Česko,Česko,Moravskoslezsko,-.575,.179157,-.754157,-.3958429999999999,-.099,-.41,-1.169,,
Czech Republic,CZ08,Moravskoslezsko,2010,1908,2,CZ,CZ0,CZ08,Česko,Česko,Moravskoslezsko,-.412,.392317,-.8043169999999999,-.019683,-.197,-.215,-.783,,
Germany,DE1,Baden-Württemberg,2017,101,1,DE,DE1,,Deutschland,Baden-Württemberg,NA,1.144,.243052,.9009479999999999,1.387052,1.29,.905,1.123,1.00386,.243052
Germany,DE1,Baden-Württemberg,2021,101,1,DE,DE1,,Deutschland,Baden-Württemberg,NA,.92,.192321,.7276790000000001,1.112321,.9389999999999999,.704,1.016,1.00979,.578941
Germany,DE1,Baden-Württemberg,2024,101,1,DE,DE1,,Deutschland,Baden-Württemberg,NA,.959,.216906,.742094,1.175906,1.037,.912,.792,.921439,.275067
