"Country_ID","NUTS3_ID","NUTS_ID","Sector_ID","ets_emis_t","alloc_free_t"
"DE","DEB3H","DEB3","C16-C18",53569,52874
"DE","DEC01","DEC0","C24",368190,117180
"DE","DEC02","DEC0","C23",0,0
"DE","DEC03","DEC0","C24",55039,60793
"DE","DEC04","DEC0","C19-C20",677886,249819
"DE","DEC04","DEC0","C23",0,0
"DE","DEC04","DEC0","C24",4726781,6456013
"DE","DED2C","DED2","C23",25467,27343
"DE","DED2D","DED2","C23",24969,25605
"DE","DED2E","DED2","C23",0,0
"DE","DED2E","DED2","C24",147024,131563
"DE","DED2F","DED2","C16-C18",29382,20239
"DE","DED2F","DED2","C23",21273,24994
"DE","DED2F","DED2","C24",40772,32855
"DE","DED42","DED4","C16-C18",23463,14559
"DE","DED43","DED4","C16-C18",37329,63482
"DE","DED43","DED4","C23",16791,23004
"DE","DED43","DED4","C24",102387,84733
"DE","DED45","DED4","C16-C18",0,0
"DE","DED45","DED4","C23",78611,82208
"DE","DED52","DED5","C16-C18",35273,27195
"DE","DED52","DED5","C19-C20",985740,759448
"DE","DED52","DED5","C23",76521,74820
"DE","DED53","DED5","C16-C18",50254,55242
"DE","DED53","DED5","C23",129372,109820
"DE","DED53","DED5","C24",19926,14091
"DE","DEE04","DEE0","C23",40596,36588
"DE","DEE05","DEE0","C16-C18",102031,120551
"DE","DEE05","DEE0","C23",103755,87200
"DE","DEE06","DEE0","C16-C18",92607,88125
"DE","DEE07","DEE0","C23",536828,466985
"DE","DEE08","DEE0","C19-C20",51385,222757
"DE","DEE08","DEE0","C23",1033410,849912
"DE","DEE09","DEE0","C16-C18",1746,1165
"DE","DEE09","DEE0","C23",690037,628365
"DE","DEE09","DEE0","C24",82393,63970
"DE","DEE0A","DEE0","C19-C20",267450,77157
"DE","DEE0A","DEE0","C24",6218,7364
"DE","DEE0B","DEE0","C16-C18",12051,7265
"DE","DEE0B","DEE0","C19-C20",2283261,2194194
"DE","DEE0C","DEE0","C19-C20",304601,613479
"DE","DEE0C","DEE0","C23",752999,826233
"DE","DEE0C","DEE0","C24",116275,95238
"DE","DEE0D","DEE0","C16-C18",98189,59889
"DE","DEE0E","DEE0","C19-C20",1669173,2005079
"DE","DEE0E","DEE0","C23",13055,16547
"DE","DEF01","DEF0","C16-C18",18541,9638
"DE","DEF05","DEF0","C19-C20",1249474,720666
"DE","DEF09","DEF0","C16-C18",38145,34788
"DE","DEF0D","DEF0","C23",37815,29847
"DE","DEF0E","DEF0","C16-C18",6091,31879
"DE","DEF0E","DEF0","C19-C20",1244259,868951
"DE","DEF0E","DEF0","C23",982119,899463
"DE","DEG01","DEG0","C23",0,0
"DE","DEG03","DEG0","C23",11876,11787
"DE","DEG06","DEG0","C23",853888,860444
"DE","DEG07","DEG0","C23",3725,3528
"DE","DEG09","DEG0","C23",30101,42483
"DE","DEG0B","DEG0","C16-C18",16040,16565
"DE","DEG0E","DEG0","C23",85200,61599
"DE","DEG0F","DEG0","C19-C20",1733,1560
"DE","DEG0F","DEG0","C23",57914,48603
"DE","DEG0H","DEG0","C23",93207,80814
"DE","DEG0I","DEG0","C16-C18",2,90325
"DE","DEG0I","DEG0","C23",19903,16265
"DE","DEG0I","DEG0","C24",104195,89010
"DE","DEG0J","DEG0","C16-C18",0,0
"DE","DEG0J","DEG0","C23",9024,25850
"DE","DEG0K","DEG0","C16-C18",50074,16449
"DE","DEG0L","DEG0","C16-C18",0,0
"DE","DEG0L","DEG0","C23",193056,128770
"DK","DK012","DK01","C23",0,0
"DK","DK013","DK01","C24",0,0
"DK","DK022","DK02","C19-C20",532667,407990
"DK","DK022","DK02","C23",48047,42954
"DK","DK031","DK03","C16-C18",0,0
"DK","DK031","DK03","C23",23339,22354
"DK","DK032","DK03","C19-C20",395532,314068
"DK","DK032","DK03","C23",33914,30658
"DK","DK041","DK04","C16-C18",2524,15836
"DK","DK041","DK04","C23",20690,17724
"DK","DK042","DK04","C23",59590,65836
"DK","DK050","DK05","C23",1729263,1706413
"EE","EE001","EE00","C16-C18",4030,66068
"EE","EE004","EE00","C23",29591,15597
"EE","EE008","EE00","C16-C18",2363,1706
"EE","EE009","EE00","C16-C18",19628,19642
"EE","EE009","EE00","C23",34357,41877
"EE","EE00A","EE00","C19-C20",1960729,1727428
"EL","EL303","EL30","C16-C18",0,0
"EL","EL303","EL30","C23",19078,12254
