"id","Country_ID","activity_id","Sector_ID","nace_id","lat","lon","NUTS3_ID","NUTS_ID","verified","allocatedFree"
"IT_1084","IT",20,"C19-C20",20.41,41.5128148,12.6265696,"ITI43","ITI4",0,0
"IT_1071","IT",20,"C19-C20",20.41,41.4802213,13.8036874,"ITI45","ITI4",13332,1014
"IT_194","IT",20,"C10-C12",10.51,45.1008238,10.4857938,"ITC4B","ITC4",0,0
"IT_1039","IT",20,"C10-C12",10.39,40.7290534,14.5542841,"ITF33","ITF3",0,0
"IT_881","IT",20,"C10-C12",10.39,40.7950314,14.7689619,"ITF35","ITF3",6484,1321
"IT_705","IT",20,"C26-C27",26.3,45.479702,9.067753,"ITC4C","ITC4",0,0
"IT_1158","IT",20,"C10-C12",10.39,41.4253547,15.6561717,"ITF46","ITF4",16405,2868
"IT_863","IT",20,"C10-C12",10.39,40.748222,14.5789812,"ITF35","ITF3",21494,2268
"IT_1044","IT",20,"C10-C12",10.39,40.775782,14.699095,"ITF35","ITF3",0,0
"IT_1021","IT",20,"C10-C12",10.51,44.7084314,10.6132852,"ITH53","ITH5",0,0
"IT_1034","IT",20,"C10-C12",10.39,45.0230581,10.4736607,"ITC4A","ITC4",25121,11414
"IT_720","IT",20,"C10-C12",10.51,45.3242807,9.4541306,"ITC49","ITC4",0,0
"IT_29","IT",20,"C19-C20",20.12,45.1086512,7.694556,"ITC11","ITC1",27450,13190
"IT_1033","IT",20,"C10-C12",10.39,44.72847,11.9408995,"ITH56","ITH5",0,0
"IT_862","IT",20,"C10-C12",10.39,40.8101009,14.6215811,"ITF35","ITF3",13481,2907
"IT_1074","IT",20,"C29-C30",30.3,40.5379536,17.435493,"ITF43","ITF4",5411,673
"IT_809","IT",20,"C29-C30",30.3,40.977924,14.4712231,"ITF33","ITF3",10929,2128
"IT_283","IT",20,"C10-C12",10.81,45.2460902,12.0300183,"ITH36","ITH3",51068,31647
"IT_19","IT",20,"C29-C30",30.3,45.2084652,7.6406373,"ITC11","ITC1",6286,1628
"IT_1005","IT",20,"C25+C28",28.3,45.5245196,9.580919,"ITC46","ITC4",0,0
"IT_704","IT",20,"C10-C12",10.13,41.7060882,12.5702333,"ITI43","ITI4",0,0
"IT_1000","IT",20,"C19-C20",20.16,41.9358006,15.0021342,"ITF22","ITF2",0,0
"IT_991","IT",20,"C10-C12",10.51,44.700115,7.687517,"ITC16","ITC1",6969,1351
"IT_75","IT",20,"C19-C20",19.1,44.3755533,8.2955216,"ITC32","ITC3",129374,88594
"IT_972","IT",20,"C10-C12",10.32,45.1252559,11.3974457,"ITH31","ITH3",0,0
"IT_970","IT",20,"C10-C12",10.11,44.5392513,10.9680182,"ITH54","ITH5",0,0
"IT_982","IT",20,"C10-C12",10.39,44.720419,11.097144,"ITH54","ITH5",5328,2281
"IT_981","IT",20,"C10-C12",10.39,44.8525057,12.1740173,"ITH56","ITH5",42887,8935
"IT_980","IT",20,"C10-C12",10.39,40.5618181,17.8099126,"ITF44","ITF4",0,0
"IT_978","IT",20,"C10-C12",10.32,44.3899183,11.8973433,"ITH57","ITH5",7100,1871
"IT_979","IT",20,"C10-C12",10.32,44.4803034,11.8185651,"ITH57","ITH5",0,0
"IT_977","IT",20,"C10-C12",10.39,42.522844,11.2872885,"ITI1A","ITI1",5711,2338
"IT_968","IT",20,"C21-C22",22.11,41.1035967,16.7959457,"ITF47","ITF4",27681,1759
"IT_958","IT",20,"C10-C12",11.07,45.57839,12.11007,"ITH35","ITH3",0,0
"IT_751","IT",20,"C10-C12",11.01,44.3097307,11.8702138,"ITH57","ITH5",0,0
"IT_942","IT",20,"C10-C12",10.41,40.9510502,17.2879286,"ITF47","ITF4",22006,12792
"IT_141","IT",20,"C13-C15",13.3,45.6990772,9.4943846,"ITC46","ITC4",0,0
"IT_313","IT",20,"C10-C12",10.39,44.8266155,9.7223968,"ITH51","ITH5",10913,5229
"IT_969","IT",20,"C10-C12",10.39,44.9745287,10.0430071,"ITH52","ITH5",9680,4467
"IT_101","IT",20,"C10-C12",11.05,45.8460528,8.8251194,"ITC41","ITC4",0,0
"IT_111","IT",20,"C26-C27",27.51,45.5643562,9.3029593,"ITC4D","ITC4",0,0
"IT_944","IT",20,"C13-C15",13.3,43.8696077,11.1010659,"ITI15","ITI1",0,0
"IT_131","IT",20,"C13-C15",13.3,45.619625,9.5147024,"ITC4C","ITC4",0,0
"IT_157","IT",20,"C19-C20",20.13,45.543854,10.1987689,"ITC47","ITC4",0,0
"IT_816","IT",20,"C21-C22",22.29,41.1874897,13.9006241,"ITF31","ITF3",0,0
"IT_1252","IT",20,"C19-C20",20.15,44.4431465,12.2319078,"ITH57","ITH5",20884,85992
"IT_938","IT",20,"C10-C12",10.81,41.9394783,14.9975635,"ITF22","ITF2",0,0
"IT_811","IT",20,"C10-C12",10.12,44.11212,12.19936,"ITH58","ITH5",38789,5136
"IT_1238","IT",20,"C10-C12",10.52,40.9898096,14.3022887,"ITF33","ITF3",2725,1420
"IT_936","IT",20,"C10-C12",10.41,44.532827,11.872702,"ITH57","ITH5",54756,32174
"IT_13","IT",20,"C16-C18",18.11,44.9751719,7.7216071,"ITC11","ITC1",0,0
"IT_797","IT",20,"C13-C15",13.3,43.9184788,11.0162089,"ITI13","ITI1",0,0
"IT_91","IT",20,"C13-C15",13.3,45.6104269,8.845128,"ITC41","ITC4",0,0
"IT_814","IT",20,"C19-C20",20.14,45.6429546,8.8909806,"ITC41","ITC4",12593,9181
"IT_257","IT",20,"C13-C15",13.2,45.7299359,12.3035129,"ITH34","ITH3",0,0
"IT_915","IT",20,"C13-C15",13.3,45.5380638,8.7582925,"ITC4C","ITC4",3736,10054
"IT_568","IT",20,"C19-C20",20.14,40.3836515,18.1273025,"ITF45","ITF4",0,0
"IT_730","IT",20,"C10-C12",11.05,45.6048463,9.6631353,"ITC46","ITC4",9196,2144
"IT_917","IT",20,"C10-C12",10.39,44.7584101,10.2913584,"ITH52","ITH5",0,0
"IT_140","IT",20,"C10-C12",10.51,45.4917256,9.6436961,"ITC46","ITC4",0,0
"IT_725","IT",20,"C10-C12",10.13,45.4927174,9.410815,"ITC4C","ITC4",0,0
"IT_794","IT",20,"C19-C20",20.13,43.3860989,10.4433,"ITI16","ITI1",257530,599934
"IT_841","IT",20,"C10-C12",10.89,45.0209663,9.127847,"ITC48","ITC4",38059,16611
"IT_93","IT",20,"C13-C15",13.3,45.5902172,8.8274789,"ITC41","ITC4",0,0
"IT_853","IT",20,"C25+C28",28.11,45.5940156,8.9117392,"ITC4C","ITC4",0,0
"IT_806","IT",20,"C29-C30",30.3,45.7182482,8.69422,"ITC41","ITC4",13027,2705
"IT_805","IT",20,"C29-C30",30.3,45.6311123,8.7452691,"ITC41","ITC4",7054,1717
"IT_519","IT",20,"C29-C30",30.3,40.6635164,17.9312743,"ITF44","ITF4",0,0
"IT_294","IT",20,"C31-C33",31.02,46.1857904,13.0560278,"ITH42","ITH4",0,0
"IT_1","IT",20,"C25+C28",28.15,44.9147439,7.4696392,"ITC11","ITC1",4027,1093
"IT_143","IT",20,"C13-C15",13.3,45.7731523,9.820262,"ITC46","ITC4",0,0
"IT_927","IT",20,"C13-C15",13.3,43.8715246,11.0791097,"ITI15","ITI1",0,0
"IT_650","IT",20,"C19-C20",19.2,45.0369512,7.6734521,"ITC11","ITC1",0,0
"IT_1066","IT",20,"C19-C20",20.14,45.5344606,11.3007236,"ITH32","ITH3",9080,6377
"IE_207487","IE",20,"C10-C12",10.51,52.26839,-7.0357,"IE052","IE05",35159,28087
"IE_207245","IE",20,"C21-C22",21.2,52.6210851,-8.6550475,"IE051","IE05",15982,3085
"IE_205865","IE",20,"C10-C12",10.51,54.120659,-6.7397374,"IE041","IE04",8425,7420
"IE_12","IE",20,"C10-C12",10.86,52.6069261,-8.9808028,"IE051","IE05",24997,3101
"IE_64","IE",20,"C21-C22",21.2,51.8973549,-8.371426,"IE053","IE05",0,0
"IE_24","IE",20,"C21-C22",21.2,53.3257061,-6.4478918,"IE061","IE06",32849,4549
"IE_23","IE",20,"C21-C22",21.1,51.8304283,-8.3219487,"IE053","IE05",10892,7928
"IE_44","IE",20,"C21-C22",21.1,53.1843966,-6.7902497,"IE062","IE06",23140,2232
"IE_10","IE",20,"C21-C22",21.2,52.3558172,-7.6902551,"IE051","IE05",8811,3908
"IE_61","IE",20,"C21-C22",21.2,51.8304283,-8.3219487,"IE053","IE05",4193,4032
"IE_97","IE",20,"C31-C33",32.5,53.85509,-9.27685,"IE042","IE04",19579,2753
"IE_114","IE",20,"C21-C22",21.1,51.8268768,-8.3353835,"IE053","IE05",8018,5125
"IE_111","IE",20,"C10-C12",10.51,53.328894,-8.1904359,"IE042","IE04",26962,22695
"IE_113","IE",20,"C21-C22",21.2,53.8025892,-9.5120789,"IE042","IE04",9343,1849
"IE_109","IE",20,"C10-C12",10.41,52.6365102,-6.6270374,"IE052","IE05",894,559
"IE_107","IE",20,"C10-C12",10.41,53.0578764,-6.7016395,"IE062","IE06",15488,7997
"IE_106","IE",20,"C10-C12",10.41,52.6922641,-8.1467772,"IE051","IE05",16845,10667
"IE_105","IE",20,"C10-C12",10.41,52.2623483,-7.0930459,"IE052","IE05",14188,10239
"IE_104","IE",20,"C10-C12",10.86,52.3248837,-6.4522094,"IE052","IE05",0,0
"IE_103","IE",20,"C10-C12",10.86,51.9048039,-8.9588478,"IE053","IE05",32277,7434
"IE_79","IE",20,"C10-C12",10.51,52.7886714,-7.3338244,"IE052","IE05",85544,35437
"IE_78","IE",20,"C10-C12",10.86,54.0850067,-7.0912729,"IE041","IE04",24718,4585
"IE_81","IE",20,"C10-C12",10.51,53.8138377,-7.0516969,"IE041","IE04",23808,17833
"IE_76","IE",20,"C10-C12",10.82,53.3973594,-6.187072,"IE061","IE06",0,0
"IE_67","IE",20,"C10-C12",10.51,52.4747264,-8.1544426,"IE051","IE05",19778,9544
"IE_69","IE",20,"C16-C18",16.21,53.9451156,-8.0861879,"IE041","IE04",4450,23673
"IE_60","IE",20,"C21-C22",21.1,51.8304283,-8.3219487,"IE053","IE05",2656,790
"IE_45","IE",20,"C26-C27",26.11,53.3638428,-6.4900033,"IE062","IE06",51274,5515
"IE_46","IE",20,"C21-C22",21.2,53.4152372,-6.3585937,"IE061","IE06",0,0
"IE_42","IE",20,"C21-C22",21.1,53.4629648,-6.2221908,"IE061","IE06",0,0
"IE_41","IE",20,"C10-C12",10.51,52.1401493,-8.6675172,"IE053","IE05",36705,14075
"IE_40","IE",20,"C10-C12",10.51,52.2688172,-8.2658355,"IE053","IE05",53076,23949
"IE_39","IE",20,"C19-C20",20.14,51.8973549,-8.371426,"IE053","IE05",7065,6927
"IE_38","IE",20,"C10-C12",10.2,54.6481587,-8.4297661,"IE041","IE04",11846,1564
"IE_21","IE",20,"C21-C22",21.2,51.726487,-8.5874569,"IE053","IE05",26584,8372
"IE_17","IE",20,"C21-C22",21.2,53.4103838,-6.4100116,"IE061","IE06",7524,6130
"IE_4","IE",20,"C16-C18",16.21,52.3722405,-7.6563414,"IE051","IE05",7790,54132
"IE_5","IE",20,"C10-C12",11.01,51.9143321,-8.1726276,"IE053","IE05",43154,8768
"IE_3","IE",20,"C10-C12",10.51,52.85973,-8.20113,"IE051","IE05",22487,16289
