"Country_ID","NUTS_ID","Sector_ID","ets_emis_t","alloc_free_t"
"FR","FRY2","C23",0,0
"HR","HR03","C19-C20",678325,389777
"HR","HR03","C23",1277898,1258201
"HR","HR03","C24",15151,11507
"HR","HR04","C16-C18",13400,3091
"HR","HR04","C19-C20",344902,363348
"HR","HR04","C23",886180,771108
"HR","HR04","C24",33099,14168
"HU","HU11","C23",16437,29500
"HU","HU12","C16-C18",22212,8787
"HU","HU12","C19-C20",879810,822594
"HU","HU12","C23",346068,383429
"HU","HU21","C16-C18",295376,219987
"HU","HU21","C19-C20",795568,811198
"HU","HU21","C23",142085,130203
"HU","HU21","C24",351013,958232
"HU","HU22","C23",28732,38839
"HU","HU23","C23",477053,923096
"HU","HU31","C19-C20",497451,606096
"HU","HU31","C23",53380,41244
"HU","HU31","C24",30781,30073
"HU","HU32","C16-C18",9419,5470
"HU","HU32","C23",0,1925
"HU","HU33","C23",99812,73332
"IE","IE04","C23",640446,662904
"IE","IE05","C19-C20",286922,205945
"IE","IE05","C23",856396,684439
"IE","IE06","C23",1379726,1351751
"IT","ITC1","C16-C18",332311,271732
"IT","ITC1","C19-C20",964516,653946
"IT","ITC1","C23",1012359,967668
"IT","ITC1","C24",121468,105455
"IT","ITC2","C24",87962,67413
"IT","ITC3","C16-C18",46850,24178
"IT","ITC3","C19-C20",267101,174837
"IT","ITC3","C23",157114,113196
"IT","ITC3","C24",61742,52007
"IT","ITC4","C16-C18",253982,163911
"IT","ITC4","C19-C20",1835604,1446761
"IT","ITC4","C23",3814216,3520372
"IT","ITC4","C24",1805137,1305127
"IT","ITF1","C16-C18",117043,53194
"IT","ITF1","C23",347159,281508
"IT","ITF2","C23",746142,619174
"IT","ITF3","C16-C18",71852,29406
"IT","ITF3","C23",137471,105444
"IT","ITF3","C24",52017,38294
"IT","ITF4","C19-C20",401650,399315
"IT","ITF4","C23",766987,898942
"IT","ITF4","C24",4351958,6372829
"IT","ITF5","C16-C18",4995,3781
"IT","ITF5","C23",437663,484317
"IT","ITF5","C24",49240,37614
"IT","ITF6","C19-C20",662920,668706
"IT","ITF6","C23",167602,161079
"IT","ITG1","C19-C20",5625561,3692395
"IT","ITG1","C23",963645,919620
"IT","ITG1","C24",16397,17935
"IT","ITG2","C16-C18",4972,4066
"IT","ITG2","C19-C20",29394,19466
"IT","ITG2","C23",311527,320168
"IT","ITG2","C24",183384,264212
"IT","ITH2","C16-C18",217643,210790
"IT","ITH2","C23",148466,37608
"IT","ITH2","C24",30788,24366
"IT","ITH3","C16-C18",521449,364743
"IT","ITH3","C19-C20",377868,478295
"IT","ITH3","C23",1804180,1555133
"IT","ITH3","C24",481545,422719
"IT","ITH4","C16-C18",210106,173448
"IT","ITH4","C19-C20",0,0
"IT","ITH4","C23",652747,525420
"IT","ITH4","C24",643137,466465
"IT","ITH5","C16-C18",81854,49403
"IT","ITH5","C19-C20",204700,335803
"IT","ITH5","C23",2667297,2174861
"IT","ITH5","C24",271019,130676
"IT","ITI1","C16-C18",787177,537088
"IT","ITI1","C19-C20",284339,299758
"IT","ITI1","C23",742230,606539
"IT","ITI1","C24",69586,76643
"IT","ITI2","C16-C18",10391,11185
"IT","ITI2","C23",647528,612924
"IT","ITI2","C24",306687,254691
"IT","ITI3","C16-C18",108892,83630
"IT","ITI3","C19-C20",435468,383535
"IT","ITI3","C23",0,0
"IT","ITI3","C24",70287,45504
"IT","ITI4","C16-C18",176417,176804
"IT","ITI4","C19-C20",30551,14922
"IT","ITI4","C23",890317,888549
"IT","ITI4","C24",28009,24064
"LT","LT01","C16-C18",7786,28953
"LT","LT01","C23",49235,39895
"LT","LT02","C16-C18",8865,23927
"LT","LT02","C19-C20",3009655,2505640
"LT","LT02","C23",817746,876893
"LU","LU00","C23",394535,555893
"LU","LU00","C24",350404,324762
"LV","LV00","C16-C18",0,0
"LV","LV00","C23",783980,791920
"LV","LV00","C24",1,0
"NL","NL11","C16-C18",82971,122579
"NL","NL11","C19-C20",1390,552317
"NL","NL11","C23",135418,106001
"NL","NL11","C24",21,51072
"NL","NL12","C16-C18",13768,4160
"NL","NL13","C16-C18",11686,13243
"NL","NL22","C16-C18",251625,285393
"NL","NL22","C23",65955,58555
"NL","NL31","C23",9825,9718
"NL","NL32","C16-C18",41513,44255
"NL","NL32","C24",4543687,10224070
"NL","NL33","C19-C20",7529618,6439036
"NL","NL33","C23",98712,88605
"NL","NL33","C24",9236,5917
"NL","NL34","C19-C20",7428456,6455588
"NL","NL34","C24",63676,64441
"NL","NL41","C16-C18",10774,12930
"NL","NL41","C19-C20",2258074,1743084
"NL","NL41","C23",319064,257238
"NL","NL41","C24",18632,88462
"NL","NL42","C16-C18",240019,203782
"NL","NL42","C23",246773,208035
"NL","NL42","C24",13528,14032
"PL","PL21","C16-C18",54058,35640
"PL","PL21","C19-C20",562147,633850
"PL","PL21","C23",45820,67786
"PL","PL21","C24",353449,381042
"PL","PL22","C16-C18",87231,43694
"PL","PL22","C19-C20",950850,1050017
"PL","PL22","C23",1349046,1339574
"PL","PL22","C24",3718104,6491808
"PL","PL41","C16-C18",40131,35281
"PL","PL41","C23",374552,276214
"PL","PL41","C24",31409,23127
"PL","PL42","C16-C18",12056,16918
"PL","PL42","C19-C20",462412,585012
"PL","PL42","C23",0,0
"PL","PL43","C16-C18",193848,147735
"PL","PL43","C19-C20",8939,0
"PL","PL43","C23",100856,118360
"PL","PL51","C16-C18",33954,16394
"PL","PL51","C19-C20",82987,98976
"PL","PL51","C23",156583,149812
"PL","PL51","C24",1026284,925281
"PL","PL52","C16-C18",18157,17383
"PL","PL52","C19-C20",868696,1674159
"PL","PL52","C23",3155406,3054029
"PL","PL52","C24",10443,12336
"PL","PL61","C16-C18",154424,418655
"PL","PL61","C19-C20",1298775,2089876
"PL","PL61","C23",1329563,1226322
"PL","PL62","C16-C18",9524,7609
"PL","PL62","C23",53998,31198
"PL","PL63","C16-C18",364918,185400
"PL","PL63","C19-C20",2160470,1700473
"PL","PL63","C23",32004,59736
"PL","PL71","C23",1924494,1777608
"PL","PL72","C23",4132364,4019911
"PL","PL72","C24",124698,154771
"PL","PL81","C16-C18",4103,1623
"PL","PL81","C19-C20",1471776,2283141
"PL","PL81","C23",894700,1114289
"PL","PL82","C19-C20",97722,90776
"PL","PL82","C23",248012,206051
"PL","PL82","C24",38137,31416
"PL","PL84","C23",4044,4950
"PL","PL91","C23",10357,15315
"PL","PL91","C24",66175,71880
"PL","PL92","C16-C18",238051,186220
"PL","PL92","C19-C20",6621904,3432050
"PL","PL92","C23",194388,198668
"PT","PT11","C16-C18",137733,128522
"PT","PT11","C19-C20",0,0
"PT","PT11","C23",207508,144160
"PT","PT11","C24",50258,41324
"PT","PT15","C23",233746,236796
"PT","PT16","C16-C18",355491,389613
"PT","PT16","C19-C20",97572,67068
"PT","PT16","C23",2111329,1953713
"PT","PT17","C16-C18",256996,212349
"PT","PT17","C19-C20",9824,23156
"PT","PT17","C23",1833505,1955250
"PT","PT17","C24",89697,70428
"PT","PT18","C19-C20",2371202,1646918
"PT","PT18","C23",340616,310285
"RO","RO11","C16-C18",35927,11135
"RO","RO11","C23",960694,1012780
"RO","RO11","C24",53718,39918
"RO","RO12","C16-C18",56436,50778
"RO","RO12","C19-C20",3850,5393
"RO","RO12","C23",857949,799150
"RO","RO12","C24",2034,1358
